datetime,amount,category,merchant,regret
2026-01-01 08:40:00,120,Commute,Metro Card,1
2026-01-01 13:10:00,265,Food Delivery,Zomato,4
2026-01-01 20:45:00,190,Cafe,Blue Tokai,2
2026-01-02 09:10:00,499,Bills,Jio,1
2026-01-02 13:20:00,310,Food Delivery,Swiggy,4
2026-01-02 22:25:00,420,Food Delivery,Zomato,5
2026-01-03 10:15:00,640,Groceries,Blinkit,1
2026-01-03 19:20:00,210,Commute,Uber,2
2026-01-03 22:50:00,740,Shopping,Amazon,4
2026-01-04 11:05:00,180,Cafe,Third Wave Coffee,2
2026-01-04 14:35:00,1280,Shopping,Myntra,4
2026-01-04 20:20:00,360,Food Delivery,Swiggy,4
2026-01-05 08:55:00,155,Commute,Rapido,2
2026-01-05 12:50:00,330,Food Delivery,Zomato,4
2026-01-05 18:35:00,560,Groceries,Instamart,1
2026-01-06 09:25:00,299,Bills,Airtel,1
2026-01-06 20:40:00,245,Entertainment,Spotify,2
2026-01-06 22:15:00,450,Food Delivery,Swiggy,5
2026-01-07 10:40:00,875,Groceries,DMart Ready,1
2026-01-07 13:05:00,285,Food Delivery,Zomato,4
2026-01-07 17:40:00,230,Cafe,Starbucks,2
2026-01-08 09:05:00,130,Commute,Metro Card,1
2026-01-08 19:10:00,710,Shopping,Nykaa,3
2026-01-08 22:35:00,390,Food Delivery,Swiggy,5
2026-01-09 11:45:00,340,Entertainment,BookMyShow,2
2026-01-09 14:20:00,690,Groceries,Blinkit,1
2026-01-09 20:15:00,305,Food Delivery,Zomato,4
2026-01-10 08:30:00,95,Commute,Metro Card,1
2026-01-10 12:35:00,355,Food Delivery,Swiggy,4
2026-01-10 21:50:00,820,Shopping,Amazon,4
2026-01-11 09:40:00,145,Commute,Rapido,2
2026-01-11 12:10:00,275,Cafe,Blue Tokai,2
2026-01-11 20:55:00,460,Food Delivery,Zomato,5
2026-01-12 10:15:00,780,Groceries,Instamart,1
2026-01-12 18:45:00,520,Entertainment,Netflix,2
2026-01-12 22:20:00,410,Food Delivery,Swiggy,5
2026-01-13 09:05:00,125,Commute,Metro Card,1
2026-01-13 13:25:00,300,Food Delivery,Zomato,4
2026-01-13 19:35:00,260,Cafe,Third Wave Coffee,2
2026-01-14 10:30:00,1090,Bills,Electricity Board,1
2026-01-14 14:55:00,920,Shopping,Myntra,3
2026-01-14 21:40:00,380,Food Delivery,Swiggy,5
